CONSTITUENT_ID,AGE,GENDER,CITY,STATE,COUNTRY,ZIPCODE,EMAIL,PHONE,MARRIED,CONSTITUENT_ID,No of Events Attended,CONSTITUENT_ID,Total Amount donated,Donated (yes/no)
1001716,63,Female,Dallas,Texas,USA,75243,1,0,0,NULL,0,NULL,0,0
1001807,63,Female,Milwaukee,Wisconsin,USA,53211,0,1,1,NULL,0,NULL,0,0
1001853,65,Female,Warrensburg,Illinois,USA,62573,1,1,0,1001853,1,NULL,0,0
1001919,63,Male,Springfield,Virginia,USA,22153,1,1,1,NULL,0,NULL,0,0
1001958,62,Female,Mesa,Arizona,USA,85206,1,1,0,NULL,0,NULL,0,0
1001993,62,Female,Cave Creek,Arizona,USA,85331,0,1,0,NULL,0,NULL,0,0
1002014,71,Female,Dekalb,Illinois,USA,60115,0,1,0,NULL,0,NULL,0,0
1002044,62,Female,Batavia,Illinois,USA,60510,1,1,1,NULL,0,NULL,0,0
1002074,63,Female,San Mateo,California,USA,94402,0,1,0,NULL,0,NULL,0,0
1003160,87,Male,Mount Pleasant,South Carolina,USA,29464,0,1,0,NULL,0,NULL,0,0
1005388,26,Female,Mahomet,Illinois,USA,61853,1,1,0,NULL,0,NULL,0,0
1007556,23,Female,Buffalo Grove,Illinois,USA,60089,1,1,0,NULL,0,NULL,0,0
1007582,24,Female,Paxton,Illinois,USA,60957,1,1,0,NULL,0,NULL,0,0
1007723,24,Female,Arlington Heights,Illinois,USA,60005,1,1,0,NULL,0,NULL,0,0
1007796,22,Female,Champaign,Illinois,USA,61820,1,1,0,NULL,0,1007796,20,1
1007873,49,Female,Mapleton,Illinois,USA,61547,1,1,0,NULL,0,NULL,0,0
1018043,66,Female,Trenton,Illinois,USA,62293,0,1,0,NULL,0,NULL,0,0
1018106,69,Male,,No State,USA,,0,1,0,NULL,0,NULL,0,0
1018195,65,Female,Madison,Wisconsin,USA,53703,0,1,1,NULL,0,NULL,0,0
1018371,68,Male,Springfield,Ohio,USA,45502,0,1,1,NULL,0,NULL,0,0
